Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCF_000308415.1_GCF_000308415.1_ASM30841v1_genomic	100.0	1.83	Neural Network (Specific Model)	11	0.871	32247	301.05380946557415	8461316	0.68	8177	475	124052	None
GCF_000308575.1_GCF_000308575.1_ASM30857v1_genomic	100.0	1.57	Neural Network (Specific Model)	11	0.879	113130	316.61841334894615	7367991	0.69	6832	165	307224	None
GCF_000350525.1_GCF_000350525.1_Leucobacter_salsicius_M1-8T_draft_genome_genomic	99.9	0.16	Gradient Boost (General Model)	11	0.907	197637	336.46180676665506	3185418	0.64	2867	28	543571	None
GCF_000359745.1_GCF_000359745.1_Rhizobium_sp._genomic	100.0	1.24	Neural Network (Specific Model)	11	0.869	246360	308.8592670471613	7083871	0.6	6658	96	604001	None
GCF_000368045.1_GCF_000368045.1_Acin_john_CIP_64_6_V1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.85	1088563	293.95863257684573	3608403	0.41	3481	11	1125485	None
GCF_000372965.1_GCF_000372965.1_ASM37296v1_genomic	99.99	0.34	Neural Network (Specific Model)	11	0.887	5244579	309.30416951469584	6112094	0.63	5852	5	5244579	None
GCF_000379065.1_GCF_000379065.1_ASM37906v1_genomic	100.0	1.27	Neural Network (Specific Model)	11	0.87	5092107	308.01916802610117	5198196	0.69	4904	3	5092107	None
GCF_000381125.1_GCF_000381125.1_ASM38112v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.923	92346	319.2494138335287	3532116	0.66	3412	89	217125	None
GCF_000384295.1_GCF_000384295.1_ASM38429v1_genomic	100.0	1.26	Neural Network (Specific Model)	11	0.904	10858503	336.12615384615384	10858503	0.71	9750	1	10858503	None
GCF_000413935.1_GCF_000413935.1_Acin_sp_NIPH_2036_V1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.873	435584	314.013558384062	3897684	0.41	3614	11	1019064	None
GCF_000425325.1_GCF_000425325.1_ASM42532v1_genomic	99.97	0.52	Neural Network (Specific Model)	11	0.864	312268	300.94205522861023	2299693	0.62	2209	29	507741	None
GCF_000425945.1_GCF_000425945.1_ASM42594v1_genomic	96.06	5.63	Gradient Boost (General Model)	11	0.912	602736	312.88706936505486	6640086	0.72	6473	28	1031583	None
GCF_000445995.2_GCF_000445995.2_ASM44599v2_genomic	100.0	0.78	Neural Network (Specific Model)	11	0.858	3446630	289.62920046349944	3486308	0.53	3452	2	3446630	None
GCF_000493815.1_GCF_000493815.1_FN_W1481_genomic	99.79	0.4	Neural Network (Specific Model)	11	0.898	44334	321.5993076590221	2477971	0.28	2311	186	135502	None
GCF_000502835.1_GCF_000502835.1_Mloti_LSJC280B00_genomic	100.0	1.97	Neural Network (Specific Model)	11	0.86	220022	286.480976717774	7027013	0.62	7044	120	553788	None
GCF_000513275.1_GCF_000513275.1_G1_genomic	98.89	1.34	Neural Network (Specific Model)	11	0.862	65161	307.86351212845915	6257966	0.49	5854	167	181061	None
GCF_000518165.1_GCF_000518165.1_ASM51816v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.759	279953	299.52647412755715	1963970	0.38	1662	39	491315	None
GCF_000576595.1_GCF_000576595.1_genome_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.902	80706	326.9100491918482	4636528	0.71	4269	140	196110	None
GCF_000619905.2_GCF_000619905.2_ASM61990v2_genomic	99.97	0.07	Neural Network (Specific Model)	11	0.85	3210113	303.63836163836163	3210113	0.53	3003	1	3210113	None
GCF_000633455.1_GCF_000633455.1_ASM63345v1_genomic	99.99	0.04	Neural Network (Specific Model)	11	0.869	244390	335.5369092790617	6708080	0.39	5798	66	612659	None
GCF_000691805.2_GCF_000691805.2_ASM69180v2_genomic	99.27	0.24	Neural Network (Specific Model)	11	0.872	148611	279.57348963029756	2129476	0.39	2218	70	289629	None
GCF_000717745.1_GCF_000717745.1_ASM71774v1_genomic	99.99	0.81	Neural Network (Specific Model)	11	0.885	355841	336.58740857593574	7941520	0.71	6973	64	766343	None
GCF_000720925.1_GCF_000720925.1_ASM72092v1_genomic	100.0	0.05	Gradient Boost (General Model)	11	0.906	459479	315.27835859905906	3985545	0.74	3826	97	785252	None
GCF_000725625.1_GCF_000725625.1_Doro.v1.0_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.871	141967	329.9373864430468	8120997	0.72	7155	167	575497	None
GCF_000763945.1_GCF_000763945.1_ASM76394v1_genomic	99.97	0.05	Neural Network (Specific Model)	11	0.908	2542167	330.6458041958042	3118428	0.63	2860	5	2542167	None
GCF_000800455.1_GCF_000800455.1_ASM80045v1_genomic	99.98	0.6	Neural Network (Specific Model)	11	0.867	2370978	342.958041958042	2370978	0.56	2002	1	2370978	None
GCF_000805385.1_GCF_000805385.1_ASM80538v1_genomic	100.0	0.0	Neural Network (Specific Model)	11	0.929	911020	326.6463373655914	6265049	0.66	5952	21	1383727	None
GCF_000876675.2_GCF_000876675.2_ASM87667v2_genomic	100.0	2.34	Neural Network (Specific Model)	11	0.881	3451315	326.5710685483871	6606532	0.64	5952	4	3451315	None
GCF_000952175.1_GCF_000952175.1_ASM95217v1_genomic	100.0	1.9	Neural Network (Specific Model)	11	0.878	90882	316.4242801279772	6075381	0.6	5626	162	389672	None
GCF_000959445.1_GCF_000959445.1_ASM95944v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.854	2262093	323.2438226149566	6930496	0.67	6111	4	3317416	None
GCF_000970755.1_GCF_000970755.1_ASM97075v1_genomic	99.97	1.02	Neural Network (Specific Model)	11	0.857	2055704	315.95050505050506	2186983	0.36	1980	13	2055704	None
GCF_001038425.2_GCF_001038425.2_ASM103842v2_genomic	99.68	0.5	Neural Network (Specific Model)	11	0.861	149722	283.40302413492293	3389443	0.38	3439	53	349453	None
GCF_001050095.1_GCF_001050095.1_Enterococcus_massiliensis_genomic	99.98	0.04	Neural Network (Specific Model)	11	0.88	503362	304.74742071073746	2712841	0.4	2617	7	1255494	None
GCF_001070805.1_GCF_001070805.1_ASM107080v1_genomic	99.99	0.13	Neural Network (Specific Model)	11	0.893	106171	307.973218555715	2159589	0.4	2091	66	344677	None
GCF_001274725.1_GCF_001274725.1_ASM127472v1_genomic	100.0	0.76	Neural Network (Specific Model)	11	0.823	5539694	276.2698440822112	5673948	0.4	5644	21	5539694	None
GCF_001373395.1_GCF_001373395.1_PRJEB8430_assembly_1_genomic	100.0	0.73	Neural Network (Specific Model)	11	0.905	6224367	323.8007542426147	6818507	0.66	6364	5	6224367	None
GCF_001419705.1_GCF_001419705.1_ASM141970v1_genomic	93.79	0.18	Neural Network (Specific Model)	11	0.855	12922	315.46448736998514	7433599	0.72	6730	860	53025	None
GCF_001422645.1_GCF_001422645.1_Leaf69_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.888	507262	326.6097950492414	4140548	0.67	3757	17	983590	None
GCF_001423295.1_GCF_001423295.1_Leaf112_genomic	100.0	0.0	Neural Network (Specific Model)	11	0.871	313841	307.0247524752475	4693153	0.69	4444	34	559365	None
GCF_001423335.1_GCF_001423335.1_Leaf289_genomic	99.99	0.02	Neural Network (Specific Model)	11	0.922	830248	318.35722819593786	3462151	0.72	3348	8	1450056	None
GCF_001424835.1_GCF_001424835.1_Root318D1_genomic	99.99	0.75	Neural Network (Specific Model)	11	0.924	370305	331.23005045785834	5745828	0.66	5351	25	769994	None
GCF_001426195.1_GCF_001426195.1_Leaf339_genomic	100.0	0.4	Neural Network (Specific Model)	11	0.902	445732	321.9221736755871	3911581	0.65	3662	61	1100536	None
GCF_001426485.1_GCF_001426485.1_Root472D3_genomic	99.99	0.54	Neural Network (Specific Model)	11	0.927	3001379	314.1285557986871	3707866	0.71	3656	4	3001379	None
GCF_001429605.1_GCF_001429605.1_Soil802_genomic	99.97	0.0	Neural Network (Specific Model)	11	0.912	614079	327.76221498371336	4294604	0.71	3991	9	749815	None
GCF_001433395.1_GCF_001433395.1_ASM143339v1_genomic	100.0	1.37	Neural Network (Specific Model)	11	0.906	6989698	351.3400332225914	6989698	0.65	6020	1	6989698	None
GCF_001434275.1_GCF_001434275.1_ASM143427v1_genomic	99.99	2.14	Neural Network (Specific Model)	11	0.858	52475	299.1355098389982	2336411	0.38	2236	103	146475	None
GCF_001457025.1_GCF_001457025.1_ASM145702v1_genomic	99.94	0.37	Neural Network (Specific Model)	11	0.901	528663	327.5118495620814	4226231	0.67	3882	18	1028839	None
GCF_001467895.1_GCF_001467895.1_ASM146789v1_genomic	99.97	1.03	Neural Network (Specific Model)	11	0.89	827231	336.98198757763976	3649429	0.4	3220	27	1295353	None
GCF_001500025.1_GCF_001500025.1_ASM150002v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.933	263610	322.3434556986354	5382377	0.67	5203	51	559918	None
GCF_001542775.1_GCF_001542775.1_ASM154277v1_genomic	100.0	0.54	Neural Network (Specific Model)	11	0.897	3689726	326.74778237729157	3689726	0.69	3382	1	3689726	None
GCF_001553685.1_GCF_001553685.1_ASM155368v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.885	2177905	320.9426433915212	2177905	0.4	2005	1	2177905	None
GCF_001584325.1_GCF_001584325.1_ASM158432v1_genomic	100.0	0.0	Neural Network (Specific Model)	11	0.88	142440	283.4018813692187	3689277	0.45	3827	45	570699	None
GCF_001612615.1_GCF_001612615.1_ASM161261v1_genomic	99.99	0.04	Neural Network (Specific Model)	11	0.874	197139	325.48877223680375	7645904	0.68	6858	108	495736	None
GCF_001612985.1_GCF_001612985.1_ASM161298v1_genomic	100.0	0.19	Neural Network (Specific Model)	11	0.876	142945	315.940871514642	7709792	0.68	7137	120	339799	None
GCF_001618425.1_GCF_001618425.1_ASM161842v1_genomic	99.99	0.32	Neural Network (Specific Model)	11	0.876	189552	321.1848613198524	8036724	0.68	7319	105	648462	None
GCF_001642695.1_GCF_001642695.1_ASM164269v2_genomic	97.98	0.15	Neural Network (Specific Model)	11	0.845	4553814	317.2520517676768	7121774	0.73	6336	197	4553814	None
GCF_001646785.1_GCF_001646785.1_ASM164678v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.905	72008	315.0111111111111	6283907	0.68	6030	232	255008	None
GCF_001719165.1_GCF_001719165.1_ASM171916v1_genomic	100.0	0.83	Neural Network (Specific Model)	11	0.902	3251353	316.31050080775447	3251353	0.65	3095	1	3251353	None
GCF_001722485.1_GCF_001722485.1_ASM172248v1_genomic	99.74	0.62	Neural Network (Specific Model)	11	0.91	17851	311.73316638842516	3685650	0.74	3594	354	96713	None
GCF_001758225.1_GCF_001758225.1_ASM175822v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.899	194740	327.7846120408607	5023713	0.69	4601	54	483125	None
GCF_001758345.1_GCF_001758345.1_ASM175834v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.848	103832	293.2581664910432	2951447	0.41	2847	67	432187	None
GCF_001767255.1_GCF_001767255.1_ASM176725v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.902	2365449	327.8343304187759	2365449	0.61	2173	1	2365449	None
GCF_001866005.1_GCF_001866005.1_ASM186600v1_genomic	90.68	5.77	Neural Network (Specific Model)	11	0.793	262426	285.03645556146887	4047432	0.35	3758	50	818671	None
GCF_001877035.1_GCF_001877035.1_ASM187703v1_genomic	100.0	0.75	Neural Network (Specific Model)	11	0.842	4760574	303.274142599278	4785613	0.31	4432	2	4760574	None
GCF_001888805.2_GCF_001888805.2_ASM188880v2_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.892	4429597	326.9886025768087	4429597	0.56	4036	1	4429597	None
GCF_001940455.1_GCF_001940455.1_ASM194045v1_genomic	98.1	0.34	Gradient Boost (General Model)	11	0.891	522999	348.35254396984925	7453713	0.74	6368	32	931456	None
GCF_001953975.1_GCF_001953975.1_ASM195397v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.926	86868	320.8415361670395	5560160	0.67	5364	143	242501	None
GCF_002007115.1_GCF_002007115.1_ASM200711v1_genomic	100.0	0.3	Neural Network (Specific Model)	11	0.893	3374390	343.2040570395662	5734887	0.67	4979	17	3374390	None
GCF_002027195.1_GCF_002027195.1_ASM202719v1_genomic	84.79	0.09	Neural Network (Specific Model)	11	0.865	61010	291.72844304104933	8296413	0.71	8234	190	213532	None
GCF_002077945.1_GCF_002077945.1_ASM207794v1_genomic	100.0	1.65	Neural Network (Specific Model)	11	0.88	357565	361.44184908890793	10058349	0.45	8177	134	819643	None
GCF_002108845.1_GCF_002108845.1_ASM210884v1_genomic	100.0	0.24	Neural Network (Specific Model)	11	0.843	152760	294.3935845213849	8216640	0.63	7856	114	479132	None
GCF_002211445.1_GCF_002211445.1_ASM221144v1_genomic	97.06	1.46	Gradient Boost (General Model)	11	0.901	4847656	316.76292399782335	5798956	0.62	5513	49	4847656	None
GCF_002240415.1_GCF_002240415.1_ASM224041v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.859	5778702	324.1553816046967	5778702	0.47	5110	1	5778702	None
GCF_002243345.2_GCF_002243345.2_ASM224334v3_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.86	5564368	324.2117098865478	5572653	0.59	4936	2	5564368	None
GCF_002266425.1_GCF_002266425.1_ASM226642v1_genomic	98.97	5.83	Gradient Boost (General Model)	11	0.862	123885	274.1451822916667	4386663	0.31	4608	94	321286	None
GCF_002356455.1_GCF_002356455.1_ASM235645v1_genomic	100.0	0.54	Neural Network (Specific Model)	11	0.88	3965155	322.99786609762606	4122841	0.29	3749	3	3965155	None
GCF_002379095.1_GCF_002379095.1_ASM237909v1_genomic	100.0	0.78	Neural Network (Specific Model)	11	0.894	77773	311.9078890333767	4822403	0.64	4614	135	299304	None
GCF_002556635.1_GCF_002556635.1_ASM255663v1_genomic	99.99	1.55	Neural Network (Specific Model)	11	0.905	212400	322.8422283648735	5024522	0.66	4703	57	788089	None
GCF_002563715.1_GCF_002563715.1_ASM256371v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.91	4041252	347.408434757996	4041252	0.74	3533	1	4041252	None
GCF_002574545.1_GCF_002574545.1_ASM257454v1_genomic	100.0	0.07	Gradient Boost (General Model)	11	0.842	110944	293.83539780848025	4392053	0.33	4198	91	267023	None
GCF_002699855.1_GCF_002699855.1_ASM269985v1_genomic	100.0	0.39	Neural Network (Specific Model)	11	0.875	35791	311.8457228240568	5710863	0.58	5354	331	116137	None
GCF_002845985.1_GCF_002845985.1_ASM284598v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.843	818181	295.8416341519394	4579812	0.38	4357	26	1246779	None
GCF_002878475.1_GCF_002878475.1_ASM287847v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.889	202923	332.0981647460521	5246714	0.62	4686	55	475841	None
GCF_002900365.1_GCF_002900365.1_ASM290036v1_genomic	100.0	0.32	Neural Network (Specific Model)	11	0.872	4671322	306.31808419243987	4896291	0.5	4656	3	4671322	None
GCF_002920615.1_GCF_002920615.1_ASM292061v1_genomic	100.0	0.25	Neural Network (Specific Model)	11	0.864	235045	321.3495270349177	9536025	0.72	8563	116	518128	None
GCF_002929215.1_GCF_002929215.1_ASM292921v1_genomic	100.0	0.75	Neural Network (Specific Model)	11	0.879	175245	311.9506944444444	4593089	0.64	4320	94	680950	None
GCF_002929435.1_GCF_002929435.1_ASM292943v1_genomic	100.0	0.21	Neural Network (Specific Model)	11	0.901	1224237	327.3941850712888	3890718	0.64	3577	26	1379850	None
GCF_002959855.1_GCF_002959855.1_ASM295985v1_genomic	99.99	0.17	Neural Network (Specific Model)	11	0.883	600371	323.9057127010538	1981866	0.43	1803	8	800621	None
GCF_002980495.1_GCF_002980495.1_ASM298049v1_genomic	99.37	1.42	Neural Network (Specific Model)	11	0.875	200258	302.87601326455416	5625008	0.6	5428	139	456156	None
GCF_003002025.1_GCF_003002025.1_ASM300202v1_genomic	100.0	0.0	Neural Network (Specific Model)	11	0.853	272729	312.83505154639175	8733430	0.62	7954	81	634034	None
GCF_003024525.3_GCF_003024525.3_ASM302452v3_genomic	99.98	6.42	Neural Network (Specific Model)	11	0.854	3427709	304.26848920863307	3710871	0.4	3475	10	3427709	None
GCF_003065425.1_GCF_003065425.1_ASM306542v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.904	3161403	318.37594978526596	3193647	0.65	3027	2	3161403	None
GCF_003151075.1_GCF_003151075.1_ASM315107v1_genomic	100.0	0.73	Neural Network (Specific Model)	11	0.873	6730253	321.98194056805124	6730253	0.59	6091	1	6730253	None
GCF_003173715.1_GCF_003173715.1_ASM317371v1_genomic	99.83	0.86	Neural Network (Specific Model)	11	0.822	6788375	274.5773818288912	6788375	0.69	6791	1	6788375	None
GCF_003217235.1_GCF_003217235.1_ASM321723v1_genomic	99.9	0.16	Neural Network (Specific Model)	11	0.878	139063	304.2607608997501	3737298	0.6	3601	68	310031	None
GCF_003234115.1_GCF_003234115.1_ASM323411v1_genomic	99.99	0.05	Neural Network (Specific Model)	11	0.904	120341	322.56079752878406	3805790	0.71	3561	45	334617	None
GCF_003258805.1_GCF_003258805.1_ASM325880v1_genomic	98.52	3.71	Gradient Boost (General Model)	11	0.853	11051	285.86426037328397	6502640	0.69	6483	1103	62976	None
GCF_003289945.1_GCF_003289945.1_ASM328994v1_genomic	100.0	1.36	Neural Network (Specific Model)	11	0.873	303349	305.47978860162834	7338563	0.63	7001	71	943738	None
GCF_003337315.1_GCF_003337315.1_ASM333731v1_genomic	99.99	0.6	Neural Network (Specific Model)	11	0.901	184338	305.1557000765111	2651514	0.32	2614	29	376233	None
GCF_003339585.1_GCF_003339585.1_ASM333958v1_genomic	100.0	0.21	Neural Network (Specific Model)	11	0.896	1893625	290.42336683417085	3089569	0.47	3184	24	1893625	None
GCF_003350505.1_GCF_003350505.1_ASM335050v1_genomic	100.0	0.66	Neural Network (Specific Model)	11	0.868	267891	282.53166792833713	3865655	0.42	3963	40	685725	None
GCF_003355005.1_GCF_003355005.1_ASM335500v1_genomic	100.0	0.78	Neural Network (Specific Model)	11	0.9	3345474	319.06091370558374	3761538	0.68	3546	4	3345474	None
GCF_003367505.1_GCF_003367505.1_ASM336750v1_genomic	99.99	0.19	Neural Network (Specific Model)	11	0.865	235117	290.53653169014086	4574203	0.38	4544	46	398158	None
GCF_003383615.1_GCF_003383615.1_ASM338361v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.887	191261	353.997074010327	6949675	0.43	5810	59	734512	None
GCF_003384725.1_GCF_003384725.1_ASM338472v1_genomic	100.0	0.48	Neural Network (Specific Model)	11	0.881	208445	329.59897172236504	4796535	0.39	4279	61	528437	None
GCF_003386285.1_GCF_003386285.1_ASM338628v1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.863	190652	315.59396226415095	5804271	0.72	5300	60	467330	None
GCF_003387075.1_GCF_003387075.1_ASM338707v1_genomic	100.0	1.21	Neural Network (Specific Model)	11	0.914	9071909	329.02029914529913	9071909	0.71	8424	1	9071909	None
GCF_003428645.1_GCF_003428645.1_ASM342864v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.898	185447	314.1087958324985	5227744	0.76	4991	71	465109	None
GCF_003434305.1_GCF_003434305.1_ASM343430v1_genomic	100.0	0.22	Neural Network (Specific Model)	11	0.881	145695	333.0292519181586	7086037	0.73	6256	152	821499	None
GCF_003472385.1_GCF_003472385.1_ASM347238v1_genomic	99.99	0.43	Neural Network (Specific Model)	11	0.883	245749	338.43601651186793	2227305	0.56	1938	31	390975	None
GCF_003569805.1_GCF_003569805.1_ASM356980v1_genomic	99.42	0.33	Gradient Boost (General Model)	11	0.907	2000098	333.58403230817026	3545733	0.68	3219	9	2000098	None
GCF_003574625.1_GCF_003574625.1_ASM357462v1_genomic	99.95	1.88	Neural Network (Specific Model)	11	0.895	433558	316.60500394011035	5378583	0.65	5076	27	719106	None
GCF_003589885.1_GCF_003589885.1_ASM358988v1_genomic	99.93	0.28	Neural Network (Specific Model)	11	0.874	6800142	315.47162613257035	6800142	0.73	6291	1	6800142	None
GCF_003606365.2_GCF_003606365.2_ASM360636v2_genomic	100.0	0.52	Neural Network (Specific Model)	11	0.826	2714973	295.22703981080014	2714973	0.36	2537	1	2714973	None
GCF_003711205.1_GCF_003711205.1_ASM371120v1_genomic	100.0	0.0	Neural Network (Specific Model)	11	0.897	4507493	325.0489274523982	4507493	0.63	4149	1	4507493	None
GCF_003722335.1_GCF_003722335.1_ASM372233v1_genomic	100.0	0.34	Neural Network (Specific Model)	11	0.891	5659202	330.38606476938173	5659202	0.69	5095	1	5659202	None
GCF_003751505.1_GCF_003751505.1_ASM375150v1_genomic	99.96	1.74	Neural Network (Specific Model)	11	0.871	468017	325.80906622101526	5365586	0.57	4787	23	1084225	None
GCF_003751945.1_GCF_003751945.1_ASM375194v1_genomic	100.0	2.35	Neural Network (Specific Model)	11	0.879	8304475	326.9340819022457	8428293	0.71	7570	2	8304475	None
GCF_003752155.1_GCF_003752155.1_ASM375215v1_genomic	100.0	0.08	Gradient Boost (General Model)	11	0.882	330685	329.0249100470523	4039008	0.34	3613	29	645374	None
GCF_003752365.1_GCF_003752365.1_ASM375236v1_genomic	100.0	1.13	Neural Network (Specific Model)	11	0.894	688372	315.8426778242678	3793925	0.7	3585	10	1056865	None
